,qx,qy,qz,x,y,z
304,7.347147905359565e-07,2.8380481923641523e-06,1.2163921923498165e-07,6.448585217173185e-06,4.292358172674253e-07,1.0924275769249305e-06
310,1.009001921350525e-05,0.00011253245775718658,1.7122768196144622e-06,0.0065162249149600645,4.1552307034626766e-05,0.0046204549361608645
